dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,gensimplify-on,balanced,REFUTED,450.713,224.102,16.318,1635.428,738,1407,738,1022,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,gensimplify-on,balanced,TIMEOUT,172.981,20132.956,0.000,,5179,156472,5179,151135,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,gensimplify-on,balanced,REFUTED,308.499,277.651,46.415,4643.831,803,1611,384,553,474,12,1845,4060826,4290,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,gensimplify-on,balanced,REFUTED,300.810,175.024,74.896,9524.838,111,170,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,gensimplify-on,balanced,TIMEOUT,149.851,20125.522,0.000,,7642,52813,5098,41059,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,gensimplify-on,balanced,REFUTED,143.303,332.975,30.758,526.830,481,2394,346,1799,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,gensimplify-on,balanced,TIMEOUT,185.259,20102.382,0.000,,6848,50985,4742,39862,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,gensimplify-on,balanced,TIMEOUT,143.131,20108.953,0.000,,8627,69736,5840,56800,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,gensimplify-on,balanced,BAD_PROOF,84.257,108.883,0.000,,0,0,0,0,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,gensimplify-on,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
