dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,deconstruct,,CLAUSIFIED,381.406,,,1534.551,,,,,1022,13,4218,2343304,4967,863,923,true,false,
tptp400,Problems/AGT/AGT024+1.p,deconstruct,,CLAUSIFIED,306.787,,,1505.742,,,,,655,13,2754,1526015,4546,866,556,true,false,
tptp400,Problems/ALG/ALG016+1.p,deconstruct,,CLAUSIFIED,284.247,,,4866.775,,,,,474,12,758,1964608,4058,6525,30,true,false,
tptp400,Problems/ALG/ALG022+1.p,deconstruct,,CLAUSIFIED,414.606,,,8415.136,,,,,127,24,516,2010242,2237,9709,5,true,false,
tptp400,Problems/ALG/ALG057+1.p,deconstruct,,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,deconstruct,,CLAUSIFIED,138.731,,,461.263,,,,,165,0,190,334576,1002,3442,6,true,false,
tptp400,Problems/ALG/ALG134+1.p,deconstruct,,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,deconstruct,,CLAUSIFIED,333.429,,,17466.561,,,,,320,32,868,2569329,1864,9340,30,true,false,
tptp400,Problems/ALG/ALG212-10.p,deconstruct,,CLAUSIFIED,94.137,,,33.145,,,,,5,0,42,1119,198,70,6,true,false,
tptp400,Problems/ALG/ALG223+4.p,deconstruct,,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
