dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,bwdsubs-off,balanced,TIMEOUT,195.579,405.803,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,bwdsubs-off,balanced,TIMEOUT,162.607,411.473,0.000,,2000,21666,2000,19336,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,bwdsubs-off,balanced,REFUTED,292.169,268.025,43.645,4447.528,801,1963,393,808,474,12,1693,3742303,4276,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,bwdsubs-off,balanced,REFUTED,284.055,166.823,53.072,8868.195,110,191,102,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,bwdsubs-off,balanced,TIMEOUT,168.983,547.188,0.000,,2000,30537,1914,26187,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,bwdsubs-off,balanced,REFUTED,160.748,256.961,31.635,540.435,507,3400,380,2592,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,bwdsubs-off,balanced,TIMEOUT,164.163,521.553,0.000,,2000,63879,1998,60315,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,bwdsubs-off,balanced,TIMEOUT,139.704,329.704,0.000,,2000,19579,2000,17085,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,bwdsubs-off,balanced,TIMEOUT,86.032,20071.880,0.000,,569,2689202,535,2686116,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,bwdsubs-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
