dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,index-off,balanced,TIMEOUT,171.593,419.300,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,index-off,balanced,TIMEOUT,167.153,441.157,0.000,,2000,21666,1997,19336,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,index-off,balanced,REFUTED,284.286,255.176,46.044,4326.677,802,1932,384,759,474,12,1679,3721758,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,index-off,balanced,REFUTED,282.907,164.698,52.223,8362.723,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,index-off,balanced,TIMEOUT,178.000,469.035,0.000,,2000,24277,1523,20170,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,index-off,balanced,REFUTED,156.577,269.758,29.407,505.151,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,index-off,balanced,TIMEOUT,164.053,436.033,0.000,,2000,30870,1492,27464,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,index-off,balanced,TIMEOUT,155.153,407.477,0.000,,2000,14335,1468,11911,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,index-off,balanced,TIMEOUT,94.630,20102.775,0.000,,582,2717005,536,2713807,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,index-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
