dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,orthologic-off,balanced,REFUTED,426.297,456.373,20.758,1549.249,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,orthologic-off,balanced,TIMEOUT,218.089,20112.497,0.000,,20363,112907,20322,91771,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,orthologic-off,balanced,REFUTED,314.532,267.391,46.680,4442.283,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,orthologic-off,balanced,REFUTED,285.185,171.481,51.952,9047.513,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,orthologic-off,balanced,TIMEOUT,165.573,20112.961,0.000,,26728,1826350,17212,1665047,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,orthologic-off,balanced,REFUTED,144.286,225.625,27.246,503.064,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,orthologic-off,balanced,TIMEOUT,172.233,20102.729,0.000,,25764,2113681,17346,1993167,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,orthologic-off,balanced,TIMEOUT,192.288,20117.081,0.000,,28951,1603679,17720,1482084,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,orthologic-off,balanced,TIMEOUT,90.005,20086.280,0.000,,577,2692764,532,2689632,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,orthologic-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
