dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,subsumption-light,subsumption-light,REFUTED,111.494,322.774,20.954,23.199,1403,4903,1403,2958,1022,13,12,126,46,24,1022,false,false,
tptp400,Problems/AGT/AGT024+1.p,subsumption-light,subsumption-light,TIMEOUT,96.354,20150.320,0.000,,20152,262751,20130,241777,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,subsumption-light,subsumption-light,REFUTED,101.616,284.969,57.769,87.869,803,1925,384,756,474,12,963,46527,625,319,474,false,false,
tptp400,Problems/ALG/ALG022+1.p,subsumption-light,subsumption-light,REFUTED,103.026,197.303,59.423,186.379,110,173,53,127,127,24,746,474589,588,1537,127,false,false,
tptp400,Problems/ALG/ALG057+1.p,subsumption-light,subsumption-light,TIMEOUT,104.383,20122.868,0.000,,14468,597286,10041,528519,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,subsumption-light,subsumption-light,REFUTED,58.317,258.823,30.162,36.211,506,3282,361,2568,165,0,114,2283,144,46,165,false,false,
tptp400,Problems/ALG/ALG134+1.p,subsumption-light,subsumption-light,TIMEOUT,118.246,20114.163,0.000,,13045,548076,9983,505065,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,subsumption-light,subsumption-light,TIMEOUT,99.227,20126.697,0.000,,13924,589990,10874,544013,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,subsumption-light,subsumption-light,TIMEOUT,42.085,20187.868,0.000,,562,2577995,517,2574955,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,subsumption-light,subsumption-light,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
