dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,cond-on,balanced,REFUTED,512.459,513.140,18.082,1671.779,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,cond-on,balanced,TIMEOUT,182.071,20118.399,0.000,,20343,112593,20303,91486,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,cond-on,balanced,REFUTED,322.700,309.397,47.132,4734.867,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,cond-on,balanced,REFUTED,343.395,215.586,59.223,8951.516,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,cond-on,balanced,TIMEOUT,156.183,20106.482,0.000,,23722,1484494,15388,1352132,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,cond-on,balanced,REFUTED,169.598,269.778,31.241,553.199,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,cond-on,balanced,TIMEOUT,184.729,20110.823,0.000,,21778,1451062,14641,1354231,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,cond-on,balanced,TIMEOUT,145.607,20102.745,0.000,,26591,1456931,16130,1362105,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,cond-on,balanced,TIMEOUT,92.860,20118.122,0.000,,561,2567651,516,2564615,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,cond-on,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
