dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,balanced,balanced,REFUTED,379.771,468.313,18.027,1534.044,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,balanced,balanced,TIMEOUT,195.960,20128.930,0.000,,19962,106406,19938,85726,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,balanced,balanced,REFUTED,331.072,271.246,50.937,4648.601,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,balanced,balanced,REFUTED,300.587,179.649,57.087,8955.258,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,balanced,balanced,TIMEOUT,159.572,20112.277,0.000,,26221,1742327,16961,1585388,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,balanced,balanced,REFUTED,149.607,241.348,27.619,499.407,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,balanced,balanced,TIMEOUT,164.253,20102.050,0.000,,25670,2084508,17294,1964457,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,balanced,balanced,TIMEOUT,172.288,20107.427,0.000,,28124,1569737,17117,1458326,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,balanced,balanced,TIMEOUT,92.553,20102.027,0.000,,577,2692764,532,2689632,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,balanced,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
