dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,cond-on,balanced,TIMEOUT,188.011,422.309,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,cond-on,balanced,TIMEOUT,158.285,445.919,0.000,,2000,21666,1997,19336,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,cond-on,balanced,REFUTED,287.947,243.622,40.426,4261.595,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,cond-on,balanced,REFUTED,279.667,174.523,53.270,8387.664,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,cond-on,balanced,TIMEOUT,167.089,471.839,0.000,,2000,24277,1523,20170,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,cond-on,balanced,REFUTED,144.621,225.135,26.435,461.151,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,cond-on,balanced,TIMEOUT,147.608,475.288,0.000,,2000,30870,1492,27464,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,cond-on,balanced,TIMEOUT,137.431,355.802,0.000,,2000,14335,1468,11911,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,cond-on,balanced,TIMEOUT,93.716,20133.337,0.000,,556,2520483,512,2517461,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,cond-on,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
