dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,gensimplify-on,balanced,REFUTED,457.014,245.680,17.751,1516.365,738,1407,738,1022,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,gensimplify-on,balanced,TIMEOUT,172.323,837.329,0.000,,2000,20813,2000,18655,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,gensimplify-on,balanced,REFUTED,314.076,318.277,46.143,4424.059,803,1611,384,553,474,12,1845,4060826,4290,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,gensimplify-on,balanced,REFUTED,344.139,187.863,64.028,8472.741,111,170,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,gensimplify-on,balanced,TIMEOUT,145.552,1062.539,0.000,,2000,8425,1509,5787,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,gensimplify-on,balanced,REFUTED,134.625,269.834,26.410,443.811,481,2394,346,1799,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,gensimplify-on,balanced,TIMEOUT,148.707,1957.808,0.000,,2000,12083,1478,9593,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,gensimplify-on,balanced,TIMEOUT,140.019,658.788,0.000,,2000,7756,1474,5684,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,gensimplify-on,balanced,BAD_PROOF,99.717,102.364,0.000,,0,0,0,0,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,gensimplify-on,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
