dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,demod-off,balanced,REFUTED,386.826,460.036,16.672,1569.885,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,demod-off,balanced,TIMEOUT,162.673,20118.520,0.000,,20416,113217,20365,92012,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,demod-off,balanced,TIMEOUT,183.235,20148.321,0.000,,25720,1890158,18919,1517724,474,12,,,,,,,false,
tptp400,Problems/ALG/ALG022+1.p,demod-off,balanced,REFUTED,303.377,536.955,62.050,8465.073,507,1362,293,754,127,24,1107,4866576,2389,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,demod-off,balanced,TIMEOUT,178.568,20117.414,0.000,,23612,1178999,13015,1038877,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,demod-off,balanced,REFUTED,162.204,242.795,31.207,501.408,895,8350,736,6381,165,0,404,664779,1070,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,demod-off,balanced,TIMEOUT,153.734,20102.936,0.000,,25596,2066361,17266,1946687,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,demod-off,balanced,TIMEOUT,186.948,20126.237,0.000,,29650,1693344,18319,1566318,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,demod-off,balanced,TIMEOUT,128.810,20080.179,0.000,,1122,3194946,1105,3188072,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,demod-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
