dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,demod-off,balanced,TIMEOUT,208.388,541.883,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,demod-off,balanced,TIMEOUT,187.019,456.219,0.000,,2000,21666,1997,19336,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,demod-off,balanced,TIMEOUT,155.276,425.871,0.000,,2000,12646,1557,7674,474,12,,,,,,,false,
tptp400,Problems/ALG/ALG022+1.p,demod-off,balanced,REFUTED,281.659,507.047,51.724,8892.243,507,1362,293,754,127,24,1107,4866576,2389,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,demod-off,balanced,TIMEOUT,151.009,408.863,0.000,,2000,26155,1542,21689,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,demod-off,balanced,REFUTED,151.901,249.785,36.196,486.308,895,8350,736,6381,165,0,404,664779,1070,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,demod-off,balanced,TIMEOUT,175.943,456.008,0.000,,2000,30870,1492,27464,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,demod-off,balanced,TIMEOUT,135.410,322.128,0.000,,2000,14335,1468,11911,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,demod-off,balanced,TIMEOUT,93.552,20093.255,0.000,,1120,3179028,1104,3172158,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,demod-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
