dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,subsumption-light,subsumption-light,REFUTED,404.649,441.269,17.476,1614.614,2003,20884,2003,18381,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,subsumption-light,subsumption-light,TIMEOUT,214.693,20128.525,0.000,,19908,105015,19885,84389,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,subsumption-light,subsumption-light,REFUTED,323.263,293.340,44.750,4498.253,803,1925,384,756,474,12,1719,3778279,4279,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,subsumption-light,subsumption-light,REFUTED,333.390,219.002,60.201,8445.503,110,173,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,subsumption-light,subsumption-light,TIMEOUT,187.294,20119.072,0.000,,14525,600759,10087,531736,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,subsumption-light,subsumption-light,REFUTED,181.341,318.800,33.317,550.695,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,subsumption-light,subsumption-light,TIMEOUT,157.958,20121.744,0.000,,14103,658953,10740,611437,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,subsumption-light,subsumption-light,TIMEOUT,146.362,20104.990,0.000,,14137,608236,10973,561297,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,subsumption-light,subsumption-light,TIMEOUT,87.610,20073.862,0.000,,565,2611965,520,2608911,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,subsumption-light,subsumption-light,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
