dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,index-off,balanced,REFUTED,730.279,642.962,21.447,1890.797,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,index-off,balanced,TIMEOUT,243.334,20122.018,0.000,,20017,107802,19993,87065,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,index-off,balanced,REFUTED,327.227,335.598,58.455,4534.418,802,1932,384,759,474,12,1679,3721758,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,index-off,balanced,REFUTED,287.352,176.280,57.502,7963.683,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,index-off,balanced,TIMEOUT,147.294,20100.824,0.000,,27299,1915735,17212,1748517,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,index-off,balanced,REFUTED,142.635,213.346,26.476,470.213,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,index-off,balanced,TIMEOUT,176.680,20118.248,0.000,,25740,2108260,17337,1987814,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,index-off,balanced,TIMEOUT,137.558,20097.033,0.000,,29464,1657842,18171,1531559,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,index-off,balanced,TIMEOUT,97.663,20108.659,0.000,,590,2772446,544,2769202,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,index-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
