dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,sr-and-index-off,balanced,REFUTED,379.422,414.638,14.923,1417.491,2004,20885,2004,18382,1022,13,4228,2351559,4981,863,923,false,false,
tptp400,Problems/AGT/AGT024+1.p,sr-and-index-off,balanced,TIMEOUT,168.955,20111.483,0.000,,21684,152286,21590,129747,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,sr-and-index-off,balanced,REFUTED,281.441,242.671,39.761,4078.682,802,1932,384,759,474,12,1679,3721758,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,sr-and-index-off,balanced,REFUTED,261.241,155.474,52.267,7656.396,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,sr-and-index-off,balanced,HARD_TIMEOUT,0.000,,,,,,,,,,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,sr-and-index-off,balanced,REFUTED,132.033,199.041,24.095,431.811,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,sr-and-index-off,balanced,TIMEOUT,148.560,20095.364,0.000,,28309,2497031,19130,2363468,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,sr-and-index-off,balanced,TIMEOUT,135.162,20100.908,0.000,,31074,1959610,19385,1823840,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,sr-and-index-off,balanced,TIMEOUT,83.844,20096.257,0.000,,613,2954884,567,2951544,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,sr-and-index-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
