dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,sr-and-index-off,balanced,TIMEOUT,176.341,502.429,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,sr-and-index-off,balanced,TIMEOUT,165.228,460.724,0.000,,2000,21666,1997,19336,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,sr-and-index-off,balanced,REFUTED,297.903,285.940,40.933,4330.693,802,1932,384,759,474,12,1679,3721758,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,sr-and-index-off,balanced,REFUTED,289.714,187.365,54.758,8486.681,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,sr-and-index-off,balanced,TIMEOUT,148.065,425.838,0.000,,2000,24277,1523,20170,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,sr-and-index-off,balanced,REFUTED,151.092,225.591,26.565,443.999,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,sr-and-index-off,balanced,TIMEOUT,162.885,404.943,0.000,,2000,30870,1492,27464,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,sr-and-index-off,balanced,TIMEOUT,140.590,344.436,0.000,,2000,14335,1468,11911,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,sr-and-index-off,balanced,TIMEOUT,84.442,20099.022,0.000,,596,2802092,550,2798812,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,sr-and-index-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
