dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,sr-off,balanced,TIMEOUT,201.782,462.815,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,sr-off,balanced,TIMEOUT,166.740,459.790,0.000,,2000,21666,1997,19336,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,sr-off,balanced,REFUTED,309.627,266.815,57.770,4641.863,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,sr-off,balanced,REFUTED,299.717,176.346,49.830,8469.723,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,sr-off,balanced,TIMEOUT,155.506,476.788,0.000,,2000,24277,1523,20170,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,sr-off,balanced,REFUTED,161.434,264.253,30.331,541.980,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,sr-off,balanced,TIMEOUT,186.302,469.981,0.000,,2000,30870,1492,27464,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,sr-off,balanced,TIMEOUT,140.447,361.733,0.000,,2000,14335,1468,11911,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,sr-off,balanced,TIMEOUT,87.661,20084.563,0.000,,580,2707971,534,2704813,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,sr-off,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
