dataset,problem,config,strategy,verdict,clausify_ms,search_ms,reconstruct_ms,check_ms,given,derived,peak_active,peak_passive,clauses,fresh_symbols,proof_steps,raw_size,shared_size,max_sequent,imports,uses_sorry,contaminated,detail
tptp400,Problems/AGT/AGT005+2.p,baseline,balanced,TIMEOUT,193.113,465.701,0.000,,2000,20877,2000,18378,1022,13,,,,,,,false,
tptp400,Problems/AGT/AGT024+1.p,baseline,balanced,TIMEOUT,228.378,548.094,0.000,,2000,21666,1997,19336,655,13,,,,,,,false,
tptp400,Problems/ALG/ALG016+1.p,baseline,balanced,REFUTED,311.416,284.552,51.581,4374.139,802,1932,384,759,474,12,1679,3721750,4271,6525,30,false,false,
tptp400,Problems/ALG/ALG022+1.p,baseline,balanced,REFUTED,316.487,167.309,50.662,8941.565,111,174,53,127,127,24,1260,5499846,2392,9709,5,false,false,
tptp400,Problems/ALG/ALG057+1.p,baseline,balanced,TIMEOUT,160.813,506.748,0.000,,2000,24277,1523,20170,325,34,,,,,,,false,
tptp400,Problems/ALG/ALG089+1.p,baseline,balanced,REFUTED,155.014,243.840,28.549,499.800,506,3282,361,2568,165,0,302,527890,1034,3442,6,false,false,
tptp400,Problems/ALG/ALG134+1.p,baseline,balanced,TIMEOUT,203.403,594.710,0.000,,2000,30870,1492,27464,352,47,,,,,,,false,
tptp400,Problems/ALG/ALG163+1.p,baseline,balanced,TIMEOUT,157.621,360.105,0.000,,2000,14335,1468,11911,320,32,,,,,,,false,
tptp400,Problems/ALG/ALG212-10.p,baseline,balanced,TIMEOUT,101.190,20153.666,0.000,,572,2663897,527,2660797,5,0,,,,,,,false,
tptp400,Problems/ALG/ALG223+4.p,baseline,balanced,SKIPPED,0.000,,,,,,,,,,,,,,,,false,|F|=3484699 > 50000
